u,i,year
14699,5019,2020
9615,5290,2005
10023,203,2009
7111,1436,2012
10422,8082,2018
9768,5026,2015
15345,1509,2010
12924,1729,2003
11521,2010,2004
22436,3102,2020
10817,7909,2020
12787,2572,2008
21370,376,2018
12902,157,2012
16594,15713,2018
2059,574,2008
11837,11390,2020
7219,3764,2019
24188,1152,2010
8215,5297,2014
16899,16673,2018
14393,3458,2018
6559,3629,2002
6636,2823,2008
21140,1392,2018
17287,11353,2017
16086,1507,2015
10765,7936,2014
3707,1270,2004
19961,7263,2017
5424,3549,2006
2265,2228,2018
20245,3162,2017
3964,2219,2015
8561,2753,2011
4586,1570,2009
14994,2518,2005
12206,1636,2010
9250,478,2006
19160,2292,2016
21216,5241,2018
9979,2544,2004
1899,957,2004
5134,1930,2003
14598,1741,2012
6141,1095,2007
20275,5694,2017
11982,1718,2018
10502,5371,2018
18534,11105,2011
7193,1047,2010
19177,10892,2018
9415,1882,2014
17683,3551,2016
2607,2053,2012
10463,3285,2007
20295,7847,2017
11490,1527,2005
9232,467,2005
5794,4634,2007
4149,2093,2009
6572,3263,2017
6044,3816,2014
16004,268,2014
21295,10089,2019
16260,15396,2020
12419,4913,2009
5660,738,2002
10287,4415,2003
17329,1913,2015
15417,4302,2016
16106,14051,2014
18636,7485,2016
2589,902,2006
15043,7008,2011
17252,1951,2014
10965,6484,2015
5434,2023,2006
7615,1001,2018
1594,477,1995
13924,5331,2014
5755,3091,2018
6887,4542,2017
12508,918,2014
3359,554,1997
5886,3291,2013
14590,13877,2020
24911,15617,2019
24736,7491,2020
5426,2656,2017
15179,923,2013
13629,1408,2013
16534,2544,2016
11312,11207,2019
8159,2044,2000
11742,9693,2017
11894,6455,2008
16644,5298,2015
10037,4064,1997
9415,4962,2015
12156,1991,2009
24254,13672,2020
2422,2270,2013
8076,5443,2016
17573,4962,2016
15442,3379,2016
15620,2512,2015
15558,3424,2013
6767,5110,2011
15162,9421,2016
14853,1686,2017
2121,603,2007
17798,3580,2019
5902,2004,2006
13312,4107,2010
22877,1585,2019
8841,551,2004
423,319,1983
14777,4058,2007
3159,2497,2001
7706,2819,2010
6432,4468,2012
17312,8248,2019
17605,7856,2016
15435,2859,2019
3879,2,2013
8969,7237,2012
8081,2066,2019
18655,4531,2016
2053,1350,2012
22688,583,2019
19755,2770,2017
16559,11680,2019
14908,3025,2014
14237,461,2016
2728,2425,2001
11166,8904,2020
8961,1082,2012
10147,661,2012
10943,4143,2011
1836,564,1998
8530,8491,2017
15114,11460,2013
2742,2174,2005
7272,3531,2017
12379,9752,2012
4604,4419,2011
12083,932,2006
23727,3533,2020
20369,3260,2019
